ceb	age	educ	religion	idlnchld	knowmeth	usemeth	evermarr	agefm	heduc	urban	electric	radio	tv	bicycle
2	40	12	catholic	3	1	1	1	19	12	1	1	1	1	1
5	49	17	spirit	5	1	1	1	17	10	1	1	1	1	0
2	38	14	other	3	1	0	1	25	17	1	1	1	1	1
2	32	13	other	6	1	1	1	19	NA	1	1	1	1	1
0	22	7	spirit	4	1	0	0	NA	NA	1	1	1	1	1
2	24	4	spirit	4	1	0	0	NA	NA	1	1	1	1	1
2	41	17	other	2	1	1	1	24	17	1	1	1	1	1
1	30	7	catholic	3	1	1	1	18	8	1	0	1	0	0
5	46	5	protestant	6	1	1	0	NA	NA	1	1	1	0	0
5	36	12	protestant	3	1	1	1	20	12	1	1	1	1	1
0	45	3	protestant	2	1	1	1	19	NA	1	1	1	1	1
3	42	10	protestant	4	1	1	1	39	12	1	1	1	1	1
1	16	8	spirit	4	1	0	0	NA	NA	1	1	1	1	1
4	44	10	catholic	4	1	0	1	25	12	1	1	1	1	0
0	17	11	catholic	2	1	0	0	NA	NA	1	1	1	1	0
0	15	8	catholic	0	1	0	0	NA	NA	1	1	1	1	0
0	22	7	protestant	3	1	1	0	NA	NA	1	1	1	1	0
3	29	7	protestant	4	1	1	0	NA	NA	1	1	1	0	1
1	24	16	protestant	3	1	1	0	NA	NA	1	1	1	1	1
1	36	2	protestant	4	1	0	1	35	0	1	1	1	0	0
3	41	19	protestant	3	1	1	1	27	16	1	1	1	1	1
2	49	6	protestant	2	0	0	1	22	4	1	1	0	0	0
2	41	0	catholic	2	1	0	0	NA	NA	1	1	0	0	0
2	47	15	other	2	1	1	1	21	15	1	1	1	0	1
2	40	13	catholic	2	1	1	1	20	12	1	1	1	1	1
4	39	15	protestant	4	1	1	1	22	13	1	1	1	1	0
2	22	0	spirit	5	1	0	1	20	6	1	0	0	0	0
0	17	7	other	4	1	1	0	NA	NA	1	1	1	1	0
2	30	16	spirit	2	1	1	1	24	15	1	1	1	1	1
2	36	14	protestant	4	1	1	1	22	10	1	1	1	1	1
4	27	10	other	4	1	1	1	19	10	1	1	1	1	0
4	36	7	protestant	6	1	1	0	NA	NA	1	1	1	1	0
0	17	8	protestant	2	1	0	0	NA	NA	1	1	1	1	0
1	29	6	protestant	2	1	1	1	15	15	1	1	1	1	0
2	36	2	other	3	1	1	0	NA	NA	1	1	1	0	0
5	46	10	protestant	4	1	1	1	24	10	1	1	1	1	1
3	30	5	protestant	3	1	1	0	NA	NA	1	0	0	0	0
3	39	12	other	4	1	1	1	19	12	1	1	1	1	0
2	33	17	other	2	1	1	1	23	17	1	1	1	1	0
1	18	10	protestant	4	1	1	0	NA	NA	1	0	1	0	0
2	28	11	catholic	4	1	1	1	22	12	1	1	1	1	1
1	24	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
3	25	10	protestant	3	1	1	1	24	16	1	1	1	1	0
0	21	7	protestant	4	1	1	0	NA	NA	1	0	0	0	0
0	16	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
2	23	7	other	4	1	1	0	NA	NA	1	0	1	0	0
2	25	10	other	3	1	1	0	NA	NA	1	0	1	0	0
6	39	12	other	4	1	1	1	16	12	1	1	1	1	0
2	37	20	other	2	1	1	1	28	20	1	1	1	1	1
1	32	13	catholic	3	1	1	1	26	17	1	1	0	1	1
5	47	4	spirit	2	1	1	1	20	0	1	1	0	0	0
4	39	14	protestant	4	1	1	1	21	16	1	1	1	1	1
0	28	12	protestant	2	1	1	0	NA	NA	1	1	1	1	0
3	31	12	catholic	4	1	1	1	19	12	1	0	0	0	0
0	24	12	protestant	2	1	1	0	NA	NA	1	1	1	1	0
7	40	5	spirit	4	1	1	1	18	0	1	1	1	1	0
0	18	0	other	NA	1	0	1	17	NA	1	1	1	1	0
3	31	12	catholic	3	1	1	1	28	17	1	1	1	1	0
1	38	7	spirit	4	1	1	1	30	10	1	1	1	1	0
0	15	7	spirit	0	1	0	0	NA	NA	1	1	1	1	0
1	28	12	catholic	3	1	1	0	NA	NA	1	1	1	1	0
4	43	10	protestant	4	1	1	1	25	7	1	1	1	1	0
1	25	7	catholic	4	1	1	0	NA	NA	1	1	1	1	NA
1	21	10	protestant	1	1	1	0	NA	NA	1	1	1	1	0
3	41	18	catholic	4	1	1	1	25	17	1	1	1	1	1
3	40	12	other	2	1	1	1	22	15	1	1	1	1	1
3	25	6	other	5	1	1	1	23	7	1	0	1	0	0
2	35	12	other	2	1	1	1	17	15	1	1	1	1	0
0	20	7	protestant	4	1	1	0	NA	NA	1	1	1	1	1
1	29	0	other	2	1	1	0	NA	NA	1	1	1	1	1
2	24	12	other	4	1	1	1	23	14	1	1	1	0	0
0	18	8	other	NA	1	0	0	NA	NA	1	1	1	0	0
0	21	12	spirit	4	1	1	0	NA	NA	1	1	1	0	0
2	26	10	protestant	6	1	1	1	25	9	1	1	1	0	0
3	37	12	protestant	4	1	1	1	26	0	1	1	1	1	1
2	27	12	spirit	2	1	1	0	NA	NA	1	1	1	0	0
2	26	12	protestant	4	1	1	1	23	10	1	1	1	0	0
1	34	15	protestant	2	1	1	0	NA	NA	1	1	1	1	0
6	34	9	catholic	6	1	1	1	15	12	1	1	1	1	0
3	37	12	protestant	3	1	1	1	21	10	1	1	1	1	0
0	18	9	spirit	4	1	1	0	NA	NA	1	1	1	1	0
3	35	12	catholic	3	1	1	1	29	10	1	1	1	1	0
1	22	7	protestant	3	1	1	0	NA	NA	1	1	1	1	0
10	48	6	spirit	4	1	1	1	16	7	1	1	1	1	0
4	29	12	spirit	4	1	1	1	28	15	1	1	1	1	0
1	23	5	protestant	4	1	1	0	NA	NA	1	1	1	1	0
2	29	12	protestant	3	1	1	1	25	13	1	1	1	1	1
2	21	12	other	3	1	1	1	19	10	1	1	1	1	1
0	16	10	other	2	1	0	0	NA	NA	1	1	1	1	1
2	43	7	protestant	4	1	1	1	20	15	1	1	1	0	0
1	23	7	spirit	3	1	1	0	NA	NA	1	1	1	1	1
0	22	12	protestant	4	1	0	0	NA	NA	1	1	1	1	1
1	26	12	protestant	4	1	1	1	20	12	1	1	1	1	0
0	19	10	spirit	4	1	1	0	NA	NA	1	1	1	1	1
1	24	12	protestant	3	1	1	1	21	12	1	0	1	0	0
3	35	14	spirit	3	1	1	1	27	14	1	1	1	1	1
0	19	8	protestant	2	1	1	0	NA	NA	1	1	1	1	1
0	24	12	protestant	3	1	1	0	NA	NA	1	1	1	1	1
1	34	12	protestant	2	1	1	0	NA	NA	1	1	1	1	1
1	25	12	catholic	5	1	1	0	NA	NA	1	1	1	1	1
1	25	5	spirit	5	1	1	0	NA	NA	1	1	1	0	0
0	20	7	spirit	2	1	0	0	NA	NA	1	1	1	0	0
3	36	12	spirit	3	1	1	1	21	12	1	1	1	1	0
2	28	16	protestant	3	1	1	1	22	10	1	1	1	1	0
2	28	12	catholic	2	1	1	1	21	12	1	1	1	0	0
3	41	12	catholic	3	1	1	1	17	12	1	1	1	1	1
1	31	12	catholic	1	1	1	1	21	12	1	1	0	1	1
2	48	12	protestant	2	1	1	1	20	12	1	1	1	1	0
2	29	12	catholic	2	1	1	1	17	12	1	1	1	1	1
1	44	5	catholic	11	1	0	1	33	NA	1	1	1	0	0
3	35	12	other	3	1	1	1	19	12	1	1	1	1	1
2	22	7	other	4	1	1	0	NA	NA	1	0	0	0	0
3	27	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
0	15	9	other	2	1	0	0	NA	NA	1	1	1	1	0
2	40	16	other	2	1	1	1	29	14	1	1	1	1	0
1	42	16	other	2	1	0	1	34	16	1	1	1	1	0
2	49	15	protestant	4	1	1	1	46	15	1	1	1	1	0
1	23	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
2	32	12	catholic	4	1	1	1	23	12	1	1	1	1	1
1	26	10	catholic	1	1	1	1	22	10	1	1	1	1	1
1	25	7	other	4	1	1	1	23	NA	1	1	1	1	1
2	25	9	spirit	5	1	1	1	21	10	1	1	1	1	0
1	20	10	protestant	2	1	1	1	16	14	1	1	1	0	0
0	20	7	spirit	2	1	1	1	17	7	1	1	1	0	0
4	34	12	spirit	4	1	1	1	21	12	1	1	1	1	0
5	45	5	other	3	1	1	1	21	7	1	1	1	1	1
1	23	9	other	10	0	0	1	17	NA	1	1	1	1	1
2	22	9	other	2	1	1	1	15	9	1	1	1	1	1
0	16	7	spirit	4	1	0	1	16	12	1	1	1	1	0
3	45	9	spirit	3	0	0	1	27	10	1	1	1	1	0
0	19	10	spirit	3	1	1	0	NA	NA	1	1	1	1	1
2	28	3	other	4	1	1	0	NA	NA	1	0	0	0	0
1	23	11	protestant	4	1	1	1	19	10	1	0	1	0	0
1	29	0	other	6	1	1	0	NA	NA	1	0	1	0	0
0	20	7	spirit	6	1	1	1	18	7	1	0	1	0	1
1	27	10	protestant	3	1	1	0	NA	NA	1	0	0	0	0
4	33	9	spirit	5	1	1	1	21	10	1	0	0	0	1
0	19	10	other	4	1	1	0	NA	NA	1	0	1	0	1
2	39	10	catholic	6	1	0	1	26	12	1	1	1	1	1
0	16	6	catholic	2	0	0	0	NA	NA	1	1	1	1	1
2	30	16	catholic	4	1	1	1	23	10	1	1	1	1	1
1	22	7	protestant	4	1	1	0	NA	NA	1	0	0	0	0
0	28	12	protestant	2	1	1	1	27	12	1	1	1	1	0
2	29	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
0	24	0	protestant	5	1	1	0	NA	NA	1	0	0	0	0
3	37	10	spirit	4	1	1	1	24	10	1	1	1	1	0
3	31	0	other	6	1	1	0	NA	NA	1	0	0	0	0
4	33	12	protestant	3	1	1	1	20	12	1	1	1	1	0
1	22	0	protestant	2	1	1	0	NA	NA	1	0	0	0	0
9	47	3	protestant	10	1	1	1	37	7	1	0	1	0	0
4	40	12	protestant	6	1	1	1	24	10	1	0	0	0	0
0	15	7	other	2	1	0	0	NA	NA	1	0	1	0	0
3	26	7	other	4	1	0	1	18	7	1	0	1	0	0
1	29	7	other	2	1	1	0	NA	NA	1	0	1	0	0
5	32	6	spirit	6	1	1	1	31	0	1	0	1	0	1
0	37	6	protestant	NA	1	0	1	21	5	1	0	1	1	0
0	21	10	protestant	6	1	1	0	NA	NA	1	0	1	1	0
1	27	10	spirit	2	1	1	0	NA	NA	1	0	1	0	0
0	37	7	protestant	4	1	0	1	31	10	1	0	0	0	0
3	26	7	protestant	5	1	0	1	22	5	1	0	0	0	0
3	34	0	other	4	1	0	1	16	8	1	0	1	0	0
0	15	7	protestant	0	1	0	0	NA	NA	1	0	1	0	0
9	48	0	other	5	1	1	1	16	0	1	0	1	0	0
1	23	5	protestant	4	1	1	0	NA	NA	1	0	1	0	0
1	23	9	spirit	4	1	0	0	NA	NA	1	0	1	0	1
0	23	13	other	3	1	0	1	22	14	1	1	1	1	1
2	30	14	catholic	2	1	0	1	15	14	1	1	1	1	1
2	29	10	catholic	4	1	1	0	NA	NA	1	1	0	0	0
0	45	4	spirit	10	0	0	0	NA	NA	1	1	1	0	0
3	29	14	spirit	3	1	1	1	18	13	1	1	1	1	0
2	30	9	spirit	4	1	1	0	NA	NA	1	1	1	1	0
2	27	12	protestant	2	1	1	1	16	12	1	1	1	1	1
4	28	12	catholic	4	1	1	0	NA	NA	1	1	1	0	0
3	29	0	protestant	6	1	0	0	NA	NA	1	1	1	0	0
2	27	0	catholic	4	1	1	0	NA	NA	1	1	1	0	0
3	26	10	catholic	4	1	1	1	16	10	1	1	1	0	0
6	30	4	catholic	NA	1	1	1	18	10	1	1	1	0	0
1	26	10	spirit	4	1	1	1	19	10	1	1	1	0	0
3	33	9	spirit	6	1	1	1	20	2	1	1	1	1	0
3	33	10	spirit	2	1	1	0	NA	NA	1	1	1	0	0
0	16	9	spirit	2	1	1	0	NA	NA	1	1	1	0	0
0	18	7	spirit	4	1	1	0	NA	NA	1	1	1	0	0
1	39	10	spirit	4	1	0	1	26	10	1	1	1	1	0
1	17	7	spirit	4	1	0	0	NA	NA	1	1	1	1	0
1	22	0	other	5	1	1	0	NA	NA	1	1	1	0	0
0	22	7	other	5	0	0	0	NA	NA	1	1	1	0	0
4	35	9	protestant	4	1	1	1	22	7	1	1	1	0	0
1	19	4	spirit	4	1	1	0	NA	NA	1	1	1	0	0
4	28	9	spirit	6	1	1	1	22	7	1	0	1	0	0
2	22	8	catholic	6	1	1	1	17	10	1	0	1	0	0
3	26	0	spirit	5	1	1	1	19	NA	1	0	1	0	0
4	38	6	spirit	5	1	0	1	12	2	1	0	0	0	0
6	36	4	protestant	3	1	1	0	NA	NA	1	0	1	0	0
4	29	5	protestant	6	1	1	0	NA	NA	1	0	1	0	0
1	28	10	catholic	4	1	1	0	NA	NA	1	1	1	0	0
0	23	3	spirit	4	1	0	0	NA	NA	1	1	1	0	1
1	24	10	other	4	1	1	0	NA	NA	1	0	1	0	0
0	18	0	other	2	1	0	0	NA	NA	1	0	1	0	0
1	22	10	other	4	1	1	0	NA	NA	1	0	1	0	0
1	40	10	catholic	4	1	0	1	32	7	1	0	1	0	0
0	16	9	other	5	1	0	0	NA	NA	1	0	1	1	1
2	30	10	catholic	4	1	1	1	24	7	1	0	1	0	1
1	25	10	other	5	1	0	1	21	0	1	0	1	0	0
1	47	0	spirit	8	1	0	1	19	4	1	0	1	0	0
2	38	12	catholic	2	1	1	1	21	12	1	1	1	1	0
3	44	5	catholic	3	1	1	0	NA	NA	1	0	1	1	0
4	41	7	spirit	6	1	1	1	38	6	1	0	1	0	1
0	26	10	protestant	4	1	1	0	NA	NA	1	0	1	0	0
0	21	5	other	2	1	0	0	NA	NA	1	0	1	0	0
3	26	5	other	5	1	1	0	NA	NA	1	0	0	0	0
3	24	6	other	4	1	1	1	17	8	1	0	0	0	0
4	34	0	catholic	6	1	1	0	NA	NA	1	0	1	0	0
5	34	7	spirit	10	1	0	0	NA	NA	1	0	1	0	0
5	41	7	catholic	6	1	1	1	16	1	1	0	1	0	1
1	18	10	catholic	5	1	0	0	NA	NA	1	0	1	0	1
0	19	7	catholic	4	1	1	0	NA	NA	1	0	1	0	1
5	48	4	protestant	5	1	0	1	19	0	1	0	1	0	1
1	24	10	protestant	3	1	1	0	NA	NA	1	0	1	0	1
3	33	6	protestant	4	1	1	1	27	0	1	0	0	0	0
0	19	7	protestant	7	1	0	0	NA	NA	1	0	0	0	0
0	16	7	protestant	2	1	0	0	NA	NA	1	0	1	0	0
3	35	6	spirit	3	1	0	0	NA	NA	1	0	1	0	0
1	24	8	catholic	4	1	1	0	NA	NA	1	0	1	0	1
0	20	10	other	4	1	0	0	NA	NA	1	0	1	0	1
0	22	7	spirit	2	1	0	0	NA	NA	1	0	1	0	1
2	25	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
1	23	7	spirit	3	1	0	0	NA	NA	1	0	1	0	0
2	25	7	spirit	6	1	1	1	17	7	1	0	1	0	1
2	25	10	other	4	1	1	0	NA	NA	1	0	1	0	0
1	24	10	spirit	4	1	1	0	NA	NA	1	0	1	0	0
0	21	10	other	6	1	0	0	NA	NA	1	0	1	0	0
1	24	9	catholic	4	1	1	0	NA	NA	1	0	1	0	0
1	27	7	spirit	2	1	1	0	NA	NA	1	0	1	0	0
5	32	7	catholic	5	1	0	1	24	10	1	0	1	0	0
6	46	2	spirit	2	1	1	0	NA	NA	1	0	1	0	1
1	25	7	spirit	3	1	1	0	NA	NA	1	0	1	0	1
1	19	7	spirit	2	1	1	0	NA	NA	1	0	1	0	1
0	16	7	spirit	3	1	0	0	NA	NA	1	0	1	0	1
0	16	7	spirit	0	1	0	0	NA	NA	1	0	1	0	0
3	27	6	spirit	4	1	1	1	16	10	1	0	1	0	0
4	33	0	spirit	4	1	1	0	NA	NA	1	0	1	0	0
4	29	0	spirit	3	1	1	0	NA	NA	1	0	0	0	0
2	24	9	spirit	4	1	0	0	NA	NA	1	0	1	0	0
3	32	10	protestant	4	1	1	1	21	7	1	0	1	0	0
2	33	15	protestant	4	1	1	1	31	16	1	0	1	0	0
0	22	7	other	5	1	1	0	NA	NA	1	0	1	0	0
0	17	7	protestant	2	1	1	0	NA	NA	1	0	1	0	0
1	24	14	spirit	3	1	1	1	23	14	1	0	1	1	0
1	22	0	spirit	4	1	0	0	NA	NA	1	0	1	1	0
1	23	10	protestant	6	1	1	1	22	12	1	0	1	1	1
0	20	12	catholic	2	1	0	0	NA	NA	1	0	1	0	0
3	34	12	protestant	4	1	1	1	20	14	1	0	1	1	1
0	15	9	spirit	2	1	0	0	NA	NA	1	0	1	1	1
2	39	0	spirit	4	1	0	0	NA	NA	1	0	1	0	1
4	36	10	protestant	4	1	1	1	35	10	1	0	1	0	0
1	24	7	spirit	2	1	1	1	21	NA	1	0	1	0	0
3	40	16	catholic	3	1	1	1	25	16	1	1	1	1	1
0	31	7	protestant	4	1	1	0	NA	NA	1	1	1	1	1
1	22	8	protestant	4	1	1	0	NA	NA	1	1	1	0	0
1	28	15	other	2	1	NA	1	21	15	1	1	0	1	0
0	18	9	spirit	4	1	0	0	NA	NA	1	0	0	0	0
1	21	10	catholic	4	1	1	0	NA	NA	1	0	0	0	0
2	28	12	catholic	4	1	1	1	19	14	1	1	1	1	0
1	22	7	protestant	6	1	1	0	NA	NA	1	1	1	1	0
4	32	7	spirit	4	1	1	1	23	14	1	1	1	1	0
0	22	7	other	20	1	0	1	17	5	1	0	0	0	0
2	21	7	other	2	1	1	0	NA	NA	1	0	0	0	0
1	19	8	other	4	1	1	0	NA	NA	1	0	1	0	1
1	18	6	protestant	6	1	0	0	NA	NA	1	0	1	0	1
0	24	0	other	10	1	0	1	21	0	1	0	0	0	0
5	27	4	spirit	4	1	1	1	25	7	1	0	1	0	1
0	18	7	protestant	3	1	0	0	NA	NA	1	1	1	1	0
1	20	7	other	6	1	1	1	14	7	1	1	1	1	0
4	33	10	protestant	5	1	1	1	22	17	1	1	1	1	1
2	30	17	protestant	4	1	1	1	28	16	1	1	1	1	0
2	30	8	spirit	6	1	1	1	19	15	1	1	1	1	1
1	23	7	catholic	4	1	1	0	NA	NA	1	0	1	0	0
4	37	12	protestant	4	1	1	1	25	12	1	1	1	1	1
0	20	7	protestant	4	1	1	0	NA	NA	1	1	1	1	1
3	29	14	protestant	4	1	1	1	15	16	1	1	1	1	0
1	25	7	other	5	1	1	0	NA	NA	1	1	0	0	0
1	31	19	other	1	1	1	1	25	19	1	1	1	1	0
2	32	15	other	3	1	1	1	25	19	1	1	0	1	0
1	25	7	other	4	1	1	0	NA	NA	1	0	0	0	0
2	32	16	other	2	1	1	1	25	16	1	1	1	1	1
0	18	6	other	4	1	1	0	NA	NA	1	0	1	0	0
0	27	10	protestant	3	1	1	1	22	12	1	0	1	0	0
1	25	0	other	5	1	0	1	18	0	1	0	0	0	0
1	20	10	other	1	1	1	0	NA	NA	1	0	0	0	0
2	20	7	other	4	1	1	1	19	6	1	0	1	0	0
3	35	0	spirit	4	1	1	0	NA	NA	1	0	1	0	0
1	23	7	spirit	3	1	1	1	18	NA	1	0	1	0	0
0	24	12	protestant	3	1	1	0	NA	NA	1	0	1	0	0
0	21	10	protestant	6	1	0	0	NA	NA	1	0	1	0	0
5	32	7	protestant	2	1	1	1	24	10	1	0	0	1	0
0	29	0	other	6	1	0	0	NA	NA	1	0	1	0	0
1	29	7	other	6	1	1	0	NA	NA	1	0	1	0	0
0	23	10	other	4	1	1	1	21	NA	1	0	0	0	0
2	27	5	spirit	6	1	1	1	24	7	1	0	1	0	1
3	32	7	other	4	1	0	0	NA	NA	1	0	0	0	0
2	34	10	protestant	4	1	1	1	25	7	1	0	1	0	0
0	18	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
5	30	5	protestant	6	1	1	1	21	12	1	0	1	0	0
0	20	10	protestant	5	1	1	0	NA	NA	1	0	1	1	0
1	19	7	protestant	4	1	1	0	NA	NA	1	0	1	1	0
0	17	7	other	5	1	1	0	NA	NA	1	0	1	0	1
1	17	8	protestant	4	1	1	0	NA	NA	1	0	1	0	0
2	37	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
0	21	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
2	20	7	spirit	8	1	1	0	NA	NA	1	0	1	0	0
2	35	9	spirit	4	1	1	1	26	7	1	0	1	0	0
0	16	9	other	2	1	1	0	NA	NA	1	0	1	0	0
2	30	10	other	4	1	1	1	25	12	1	0	1	1	0
0	20	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
0	24	12	spirit	4	1	1	0	NA	NA	1	0	1	0	0
1	21	14	other	3	1	1	0	NA	NA	1	0	1	0	1
0	22	7	spirit	2	1	1	0	NA	NA	1	0	1	0	0
4	26	5	catholic	4	1	1	1	22	NA	1	0	0	0	0
1	23	7	other	6	1	1	0	NA	NA	1	0	0	0	0
5	41	2	other	5	1	1	1	23	7	1	0	1	0	0
3	31	7	protestant	3	1	1	0	NA	NA	1	0	0	0	0
3	32	7	spirit	4	1	0	0	NA	NA	1	0	0	0	0
3	22	9	protestant	4	1	1	1	21	9	1	0	0	0	0
6	31	2	spirit	10	1	1	1	18	7	1	0	0	0	0
2	24	7	protestant	4	1	1	1	15	0	1	0	0	0	0
6	34	5	spirit	9	1	1	1	22	5	1	0	1	0	0
1	24	9	catholic	4	1	0	1	20	0	1	0	1	0	0
2	27	4	catholic	4	1	1	0	NA	NA	1	0	1	0	0
1	22	7	other	4	1	1	0	NA	NA	1	0	1	0	0
1	20	7	other	4	1	1	0	NA	NA	1	0	1	0	0
1	27	10	spirit	4	1	1	1	21	7	1	0	1	0	0
1	42	2	other	4	1	0	1	20	8	1	0	1	0	0
5	35	0	protestant	5	1	0	0	NA	NA	1	0	1	0	1
3	31	12	spirit	4	1	1	1	17	10	1	0	1	0	0
0	17	9	other	1	1	1	0	NA	NA	1	0	1	0	0
1	21	0	spirit	4	1	1	1	13	12	1	0	1	0	0
2	31	10	spirit	5	1	1	1	26	6	1	0	1	1	0
0	24	7	other	4	1	0	0	NA	NA	1	0	1	1	0
3	26	7	other	4	1	1	0	NA	NA	1	0	1	0	1
2	24	7	spirit	4	1	1	0	NA	NA	1	0	1	0	1
1	30	0	other	6	1	0	1	28	0	1	0	0	0	0
4	34	7	spirit	4	1	1	1	20	1	1	1	1	1	0
4	25	7	spirit	4	1	1	1	19	6	1	0	1	0	0
3	29	7	catholic	4	1	1	1	26	6	1	0	1	0	0
2	33	9	protestant	2	1	1	1	26	7	1	0	1	0	1
6	41	4	other	4	1	1	1	21	9	1	0	0	0	0
1	21	7	protestant	2	1	0	0	NA	NA	1	0	0	0	0
1	23	7	other	4	1	0	1	22	7	1	0	0	0	0
2	25	5	other	4	1	1	1	20	9	1	0	1	0	0
5	30	0	spirit	4	1	1	1	27	8	1	0	1	0	0
1	29	8	catholic	4	1	1	1	21	17	1	0	1	0	0
1	20	6	protestant	4	1	0	0	NA	NA	1	1	0	1	0
6	35	0	other	6	1	0	1	34	6	1	0	1	0	1
3	26	8	spirit	4	1	1	1	24	7	1	0	1	0	1
5	29	10	spirit	6	1	1	0	NA	NA	1	0	1	0	0
2	26	7	spirit	6	1	1	1	25	10	1	0	0	0	0
0	26	7	spirit	3	1	0	0	NA	NA	1	0	1	0	0
3	30	9	catholic	4	1	1	0	NA	NA	1	0	0	0	0
5	37	7	catholic	5	1	1	0	NA	NA	1	0	1	0	0
5	30	8	catholic	6	1	0	1	22	12	1	0	0	0	1
0	19	10	catholic	2	1	1	0	NA	NA	1	0	0	0	0
6	40	7	protestant	5	0	0	1	21	2	1	0	1	0	0
0	17	10	protestant	4	1	0	0	NA	NA	1	0	1	0	0
0	19	10	other	4	1	0	0	NA	NA	1	0	1	0	0
1	40	7	spirit	4	1	1	1	22	7	1	0	1	0	0
1	25	7	spirit	4	1	1	0	NA	NA	1	0	1	0	0
6	42	5	protestant	4	1	1	1	18	12	1	1	1	1	0
2	24	10	catholic	4	1	1	0	NA	NA	1	0	1	0	0
0	18	6	other	3	1	1	0	NA	NA	1	0	1	0	0
0	16	9	other	2	1	1	0	NA	NA	1	0	1	0	0
3	26	8	spirit	4	1	1	1	20	10	1	0	0	0	0
0	31	10	spirit	7	0	0	0	NA	NA	1	0	1	0	0
1	24	7	spirit	3	1	1	0	NA	NA	1	0	1	0	1
0	16	8	catholic	2	1	0	0	NA	NA	1	0	1	0	0
